#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
63.75;3;353;3;63.75;63.71
65.91;22;378;1;65.87;65.03
73.8;3;353;3;73.8;73.75
75.98;22;378;1;75.94;75.1
83.81;3;353;3;83.81;83.77
86;22;378;1;85.95;85.11
92.3;12;321;0;92.3;92.25
93.86;3;353;3;93.86;93.81
96.04;22;378;1;96;95.16
102.34;12;321;0;102.34;102.3
103.9;3;353;3;103.9;103.85
106.09;22;378;1;106.04;105.2
108.08;20;439;2;105.48;105.11
112.36;12;321;0;112.36;112.31
113.9;3;353;3;113.9;113.85
116.13;22;378;1;116.09;115.25
118.42;20;439;2;115.82;115.45
122.4;12;321;0;122.4;122.36
123.91;3;353;3;123.91;123.87
126.18;22;378;1;126.13;125.29
128.46;20;439;2;125.86;125.49
132.45;12;321;0;132.45;132.4
133.96;3;353;3;133.96;133.91
136.22;22;378;1;136.18;135.34
138.51;20;439;2;135.91;135.53
142.49;12;321;0;142.49;142.45
144;3;353;3;144;143.96
146.26;22;378;1;146.22;145.38
148.51;20;439;2;145.92;145.54
152.54;12;321;0;152.54;152.49
154.04;3;353;3;154.04;154
156.3;22;378;1;156.25;155.41
158.56;20;439;2;155.96;155.59
162.58;12;321;0;162.58;162.54
164.07;3;353;3;164.07;164.02
166.34;22;378;1;166.3;165.46
168.6;20;439;2;166;165.63
172.61;12;321;0;172.61;172.56
174.09;3;353;3;174.09;174.04
176.37;22;378;1;176.32;175.48
178.65;20;439;2;176.05;175.67
182.65;12;321;0;182.65;182.61
184.13;3;353;3;184.13;184.09
186.41;22;378;1;186.37;185.53
188.69;20;439;2;186.09;185.72
192.7;12;321;0;192.7;192.65
194.18;3;353;3;194.18;194.13
196.46;22;378;1;196.41;195.57
198.74;20;439;2;196.14;195.76
202.71;12;321;0;202.71;202.66
204.21;3;353;3;204.21;204.17
206.46;22;378;1;206.42;205.58
208.78;20;439;2;206.18;205.81
212.73;12;321;0;212.73;212.69
214.26;3;353;3;214.26;214.21
216.51;22;378;1;216.46;215.62
218.82;20;439;2;216.22;215.85
222.77;12;321;0;222.77;222.73
224.27;3;353;3;224.27;224.22
226.55;22;378;1;226.51;225.67
228.86;20;439;2;226.26;225.89
232.78;12;321;0;232.78;232.74
234.31;3;353;3;234.31;234.27
236.6;22;378;1;236.55;235.71
238.91;20;439;2;236.31;235.93
242.83;12;321;0;242.83;242.78
244.36;3;353;3;244.36;244.31
246.64;22;378;1;246.6;245.76
248.95;20;439;2;246.35;245.98
252.87;12;321;0;252.87;252.83
254.4;3;353;3;254.4;254.36
256.64;22;378;1;256.6;255.76
259;20;439;2;256.4;256.02
262.9;12;321;0;262.9;262.86
264.41;3;353;3;264.41;264.36
266.68;22;378;1;266.64;265.8
269.04;20;439;2;266.44;266.07
272.91;12;321;0;272.91;272.86
274.43;3;353;3;274.43;274.39
276.71;22;378;1;276.67;275.83
279.06;20;439;2;276.46;276.08
282.95;12;321;0;282.95;282.91
284.48;3;353;3;284.48;284.43
286.76;22;378;1;286.71;285.87
289.1;20;439;2;286.5;286.13
292.96;12;321;0;292.96;292.92
294.52;3;353;3;294.52;294.48
296.77;22;378;1;296.72;295.88
299.14;20;439;2;296.55;296.17
303;12;321;0;303;302.96
304.53;3;353;3;304.53;304.48
306.78;22;378;1;306.74;305.9
309.19;20;439;2;306.59;306.22
313.05;12;321;0;313.05;313
314.55;3;353;3;314.55;314.51
316.83;22;378;1;316.78;315.94
319.23;20;439;2;316.63;316.26
323.09;12;321;0;323.09;323.05
324.6;3;353;3;324.6;324.55
326.87;22;378;1;326.82;325.98
329.25;20;439;2;326.65;326.27
333.14;12;321;0;333.14;333.09
334.64;3;353;3;334.64;334.6
336.91;22;378;1;336.87;336.03
339.29;20;439;2;336.69;336.32
343.18;12;321;0;343.18;343.14
344.69;3;353;3;344.69;344.64
346.95;22;378;1;346.91;346.07
349.33;20;439;2;346.74;346.36
353.23;12;321;0;353.23;353.18
354.73;3;353;3;354.73;354.69
356.97;22;378;1;356.93;356.09
359.38;20;439;2;356.78;356.41
363.23;12;321;0;363.23;363.18
364.74;3;353;3;364.74;364.69
367.01;22;378;1;366.97;366.13
369.42;20;439;2;366.82;366.45
373.25;12;321;0;373.25;373.21
374.78;3;353;3;374.78;374.74
377.06;22;378;1;377.01;376.17
379.47;20;439;2;376.87;376.49
383.29;12;321;0;383.29;383.25
384.83;3;353;3;384.83;384.78
389.51;20;439;2;386.91;386.54
393.31;12;321;0;393.31;393.27
393.36;23;239;1;391.8;391.43
401.3;6;184;3;401.3;401.26
403.36;12;321;0;403.36;403.31
403.4;23;239;1;401.85;401.47
405.83;31;228;2;404.94;404.48
411.45;6;184;3;411.45;411.41
413.4;12;321;0;413.4;413.36
413.45;23;239;1;411.89;411.52
416.08;31;228;2;415.2;414.73
421.5;6;184;3;421.5;421.45
423.49;23;239;1;421.94;421.56
426.13;31;228;2;425.24;424.78
429.53;18;350;0;428.65;428.18
431.51;6;184;3;431.51;431.47
433.53;23;239;1;431.98;431.61
436.13;31;228;2;435.24;434.78
439.67;18;350;0;438.79;438.32
441.56;6;184;3;441.56;441.51
443.58;23;239;1;442.03;441.65
446.17;31;228;2;445.28;444.82
449.71;18;350;0;448.83;448.37
451.6;6;184;3;451.6;451.56
453.62;23;239;1;452.07;451.69
456.19;31;228;2;455.3;454.84
459.74;18;350;0;458.86;458.39
461.65;6;184;3;461.65;461.6
463.67;23;239;1;462.11;461.74
466.19;31;228;2;465.31;464.84
469.78;18;350;0;468.9;468.44
471.69;6;184;3;471.69;471.65
473.71;23;239;1;472.16;471.78
476.2;31;228;2;475.32;474.85
479.83;18;350;0;478.94;478.48
481.73;6;184;3;481.73;481.69
483.76;23;239;1;482.41;481.83
486.24;31;228;2;485.36;484.9
489.85;18;350;0;488.96;488.5
491.76;6;184;3;491.76;491.72
493.8;23;239;1;492.45;491.87
496.28;31;228;2;495.39;494.93
499.89;18;350;0;499.01;498.54
501.81;6;184;3;501.81;501.76
503.82;23;239;1;502.47;501.89
506.32;31;228;2;505.44;504.97
509.94;18;350;0;509.05;508.59
511.85;6;184;3;511.85;511.81
513.83;23;239;1;512.48;511.9
516.36;31;228;2;515.48;515.02
519.97;18;350;0;519.09;518.62
521.85;6;184;3;521.85;521.81
523.84;23;239;1;522.49;521.91
526.41;31;228;2;525.52;525.06
530.02;18;350;0;529.13;528.67
531.9;6;184;3;531.9;531.85
533.86;23;239;1;532.51;531.93
536.45;31;228;2;535.57;535.1
540.06;18;350;0;539.18;538.71
541.94;6;184;3;541.94;541.89
543.91;23;239;1;542.56;541.98
546.5;31;228;2;545.61;545.15
550.11;18;350;0;549.22;548.76
551.98;6;184;3;551.98;551.94
553.95;23;239;1;552.6;552.02
556.5;31;228;2;556.46;555.15
560.14;18;350;0;559.26;558.79
562.03;6;184;3;562.03;561.98
563.98;23;239;1;562.63;562.05
566.55;31;228;2;566.5;565.2
570.19;18;350;0;569.3;568.84
572.07;6;184;3;572.07;572.03
573.99;23;239;1;572.64;572.06
576.59;31;228;2;576.55;575.24
580.23;18;350;0;579.35;578.88
582.12;6;184;3;582.12;582.07
584.04;23;239;1;582.48;582.11
586.62;31;228;2;586.57;585.27
590.28;18;350;0;589.39;588.93
592.13;6;184;3;592.13;592.09
594.08;23;239;1;592.53;592.15
596.66;31;228;2;596.62;595.31
600.32;18;350;0;599.44;598.97
602.18;6;184;3;602.18;602.13
604.12;23;239;1;602.57;602.19
606.7;31;228;2;605.82;605.35
610.37;18;350;0;609.48;609.02
612.22;6;184;3;612.22;612.18
614.17;23;239;1;612.61;612.24
616.75;31;228;2;615.86;615.4
620.41;18;350;0;619.53;619.06
622.27;6;184;3;622.27;622.22
624.21;23;239;1;622.66;622.28
626.79;31;228;2;625.91;625.44
630.45;18;350;0;629.57;629.11
632.31;6;184;3;632.31;632.27
634.25;23;239;1;632.7;632.33
636.83;31;228;2;635.95;635.49
640.5;18;350;0;639.61;639.15
642.36;6;184;3;642.36;642.31
644.3;23;239;1;642.74;642.37
646.88;31;228;2;645.99;645.53
650.54;18;350;0;649.66;649.19
652.36;6;184;3;652.36;652.32
654.34;23;239;1;652.79;652.41
656.92;31;228;2;656.04;655.57
660.59;18;350;0;659.7;659.24
662.41;6;184;3;662.41;662.36
664.36;23;239;1;662.81;662.44
666.96;31;228;2;666.08;665.62
670.63;18;350;0;669.75;669.28
672.45;6;184;3;672.45;672.41
674.41;23;239;1;672.85;672.48
